user,item,rating
0,0,5
0,1,1
0,2,1
0,3,1
0,5,1
0,6,5
0,7,4
0,9,5
0,10,4
0,11,1
0,12,5
0,15,1
0,16,5
0,17,1
0,18,5
0,19,1
0,20,1
0,21,4
0,22,3
0,23,2
0,24,3
0,25,5
0,26,5
0,27,1
0,28,1
0,30,5
0,31,5
0,32,1
0,33,1
0,35,1
0,632,1
0,472,1
0,272,1
0,494,3
0,750,1
0,813,1
0,570,5
1,36,5
1,37,5
1,12,5
1,14,5
1,39,5
1,16,5
1,40,5
1,42,5
1,43,4
1,26,4
1,27,4
1,44,5
1,31,5
1,34,5
1,45,5
1,125,4
1,799,3
1,336,4
1,663,4
1,15,4
1,555,2
1,216,3
1,833,3
1,396,5
2,47,2
2,1,4
2,48,3
2,36,2
2,50,3
2,6,4
2,51,3
2,52,3
2,7,4
2,9,4
2,54,2
2,55,3
2,12,4
2,13,4
2,14,3
2,56,3
2,57,3
2,58,3
2,59,4
2,16,4
2,60,3
2,61,4
2,62,3
2,63,3
2,18,4
2,64,4
2,65,3
2,66,3
2,67,3
2,25,3
2,29,4
2,69,3
2,71,3
2,72,4
2,73,3
2,44,4
2,34,3
2,74,2
2,929,3
2,351,3
2,137,3
2,138,3
2,139,3
2,820,3
2,285,3
2,398,3
3,75,1
3,76,1
3,77,3
3,78,1
3,79,1
3,80,1
3,81,1
3,35,1
3,45,1
3,929,1
3,298,1
3,168,1
3,778,1
3,322,1
3,323,1
3,291,1
4,82,1
4,83,4
4,84,1
4,75,5
4,85,4
4,39,2
4,87,1
4,88,1
4,89,1
4,90,1
4,91,5
4,92,1
4,93,5
4,94,2
4,95,2
4,97,2
4,98,2
4,176,1
4,185,1
4,42,1
4,916,1
4,22,1
4,224,1
4,587,1
5,99,4
5,100,3
5,102,3
5,104,5
5,14,4
5,105,5
5,106,4
5,107,5
5,108,4
5,458,2
5,273,1
5,752,1
5,887,2
5,995,1
5,764,1
5,92,1
5,238,1
5,243,2
6,109,1
6,110,1
6,111,1
6,46,1
6,112,1
6,113,1
6,2,1
6,114,1
6,115,1
6,99,1
6,101,1
6,83,1
6,116,1
6,117,1
6,118,1
6,48,4
6,119,1
6,120,1
6,122,1
6,123,1
6,125,1
6,126,1
6,127,1
6,49,5
6,130,1
6,36,1
6,131,4
6,132,1
6,133,1
6,134,1
6,6,1
6,135,1
6,136,1
6,51,1
6,7,3
6,9,5
6,140,1
6,141,1
6,142,1
6,143,1
6,144,1
6,102,1
6,146,1
6,37,1
6,148,1
6,150,1
6,151,1
6,104,1
6,152,1
6,11,1
6,12,5
6,13,4
6,154,4
6,155,1
6,156,1
6,157,1
6,158,1
6,160,1
6,162,1
6,163,1
6,164,1
6,165,1
6,167,1
6,168,1
6,169,1
6,59,1
6,170,1
6,171,1
6,172,1
6,174,1
6,176,1
6,177,1
6,178,1
6,180,1
6,181,1
6,182,1
6,16,5
6,17,1
6,183,4
6,184,1
6,185,1
6,88,1
6,186,1
6,187,1
6,188,1
6,189,1
6,190,1
6,191,1
6,193,1
6,195,1
6,62,1
6,196,1
6,197,1
6,198,1
6,199,1
6,200,1
6,201,1
6,203,1
6,204,1
6,205,1
6,78,1
6,206,1
6,207,1
6,208,1
6,209,1
6,211,1
6,213,1
6,214,1
6,215,1
6,21,1
6,216,1
6,218,1
6,220,1
6,23,1
6,222,1
6,223,1
6,24,1
6,226,1
6,68,1
6,227,1
6,228,1
6,229,1
6,230,1
6,231,1
6,28,1
6,232,1
6,233,1
6,234,1
6,235,1
6,236,1
6,71,1
6,72,1
6,238,1
6,239,1
6,240,1
6,94,1
6,242,1
6,243,1
6,244,1
6,245,1
6,246,1
6,31,5
6,249,1
6,251,1
6,252,1
6,253,1
6,254,1
6,255,1
6,258,1
6,33,4
6,260,1
6,34,5
6,261,1
6,262,1
6,263,1
6,264,1
6,265,1
6,465,1
6,801,1
6,303,1
6,526,1
6,352,1
6,395,1
6,582,1
6,415,1
6,652,1
7,266,3
7,47,3
7,267,2
7,1,2
7,269,2
7,270,4
7,271,2
7,36,4
7,50,5
7,273,3
7,52,2
7,7,4
7,274,3
7,9,3
7,275,1
7,276,4
7,12,4
7,13,4
7,158,3
7,14,1
7,277,5
7,58,3
7,278,4
7,279,3
7,281,5
7,180,1
7,282,1
7,16,4
7,183,4
7,185,4
7,187,4
7,189,4
7,283,5
7,284,3
7,285,3
7,64,2
7,21,5
7,286,1
7,69,1
7,287,5
7,44,3
7,288,3
7,244,3
7,289,3
7,290,2
7,291,1
7,292,3
7,260,4
7,293,1
7,34,4
7,296,1
7,894,1
7,409,2
7,533,1
7,789,2
7,948,1
7,660,1
7,582,1
7,771,1
8,99,2
8,128,1
8,297,3
8,140,2
8,102,5
8,298,1
8,58,2
8,299,4
8,300,1
8,211,1
8,286,1
8,71,1
8,250,1
8,382,2
8,49,3
8,351,2
8,410,1
8,531,2
8,446,3
8,744,1
9,99,5
9,4,1
9,301,4
9,102,5
9,78,5
9,211,4
9,224,4
9,286,4
9,71,1
9,839,3
9,719,4
9,882,2
9,88,2
9,339,4
9,323,4
9,354,2
10,109,1
10,302,2
10,48,3
10,7,3
10,9,3
10,12,3
10,303,3
10,13,3
10,154,2
10,158,1
10,14,3
10,58,3
10,41,3
10,18,2
10,304,3
10,306,3
10,29,3
10,30,5
10,31,3
10,34,3
10,46,3
10,458,3
10,6,4
10,782,2
10,657,2
10,815,2
10,246,1
10,955,1
11,109,2
11,307,3
11,308,2
11,128,5
11,49,4
11,36,4
11,6,4
11,309,2
11,310,3
11,311,4
11,104,2
11,13,1
11,14,3
11,279,4
11,280,3
11,313,3
11,88,1
11,314,4
11,315,4
11,43,1
11,316,4
11,317,2
11,319,4
11,320,4
11,243,3
11,322,4
11,323,4
11,293,2
11,456,3
11,112,4
11,151,2
11,825,2
11,230,2
11,242,3
11,934,1
12,1,5
12,324,5
12,36,5
12,325,5
12,102,3
12,13,5
12,326,5
12,21,5
12,71,5
12,31,5
12,34,5
12,3,5
12,134,5
12,474,4
12,895,4
12,697,4
12,983,4
12,300,5
12,813,4
12,629,4
13,47,3
13,132,4
13,140,3
13,327,2
13,13,4
13,328,5
13,279,3
13,312,3
13,329,4
13,16,3
13,330,3
13,332,3
13,27,3
13,333,5
13,841,1
13,277,2
13,750,1
13,884,1
13,682,1
13,916,1
14,47,4
14,334,5
14,113,3
14,335,4
14,336,4
14,337,4
14,160,4
14,338,4
14,299,4
14,60,2
14,300,3
14,65,2
14,340,5
14,251,5
14,341,4
14,342,4
14,125,1
14,310,3
14,896,1
14,887,1
14,181,1
14,713,1
14,919,1
14,721,1
15,343,5
15,137,5
15,7,2
15,344,5
15,346,5
15,337,5
15,167,5
15,40,2
15,348,4
15,65,5
15,69,5
15,349,5
15,1,4
15,694,2
15,471,4
15,171,3
15,893,2
15,901,3
15,795,3
15,988,2
15,891,4
16,99,1
16,119,1
16,351,1
16,345,1
16,352,2
16,206,1
16,233,1
16,71,2
16,354,1
16,35,1
16,459,4
16,790,1
16,819,1
16,473,1
16,155,2
16,14,2
16,825,1
16,293,1
17,47,5
17,1,4
17,102,2
17,355,4
17,58,4
17,356,2
17,357,5
17,201,4
17,42,4
17,65,4
17,358,1
17,359,5
17,360,4
17,69,4
17,361,1
17,98,2
17,45,3
17,324,4
17,136,1
17,61,4
17,536,4
17,665,1
17,662,3
17,204,1
17,563,1
17,780,4
18,364,3
18,365,3
18,366,2
18,367,5
18,368,4
18,369,3
18,370,5
18,371,5
18,372,4
18,373,3
18,374,4
18,378,4
18,379,4
18,380,3
18,381,2
18,47,1
18,923,2
18,156,2
18,762,2
18,63,2
18,828,2
18,286,2
18,568,2
18,68,2
18,869,2
19,324,4
19,362,1
19,48,1
19,308,1
19,36,4
19,7,4
19,275,1
19,384,1
19,102,1
19,385,5
19,13,4
19,38,3
19,157,1
19,386,1
19,387,1
19,56,3
19,388,4
19,389,1
19,390,1
19,391,1
19,200,1
19,64,1
19,392,4
19,394,4
19,360,4
19,234,3
19,69,4
19,395,4
19,241,4
19,396,1
19,397,3
19,399,4
19,400,3
19,74,4
19,265,1
19,465,2
19,55,2
19,280,2
19,673,1
19,944,1
19,940,2
19,218,1
19,232,1
19,261,3
20,112,2
20,113,3
20,99,3
20,120,2
20,128,3
20,402,2
20,335,3
20,58,3
20,299,4
20,182,3
20,404,2
20,16,4
20,60,2
20,65,2
20,405,3
20,306,2
20,286,2
20,406,3
20,26,2
20,71,2
20,407,4
20,31,4
20,290,3
20,34,3
20,783,1
20,161,2
20,506,3
20,231,2
20,988,1
20,771,2
21,324,2
21,99,1
21,408,2
21,409,1
21,102,1
21,410,1
21,411,1
21,412,1
21,300,2
21,65,1
21,211,1
21,414,1
21,360,4
21,251,1
21,255,1
21,415,2
21,259,1
21,416,2
21,45,1
21,841,1
21,133,2
21,475,1
21,524,1
21,439,1
21,859,3
21,651,1
21,770,1
22,362,5
22,417,5
22,129,3
22,418,5
22,419,4
22,420,3
22,13,4
22,421,5
22,14,4
22,224,4
22,376,4
22,45,1
22,465,1
22,51,4
22,617,3
22,204,3
22,27,1
22,587,1
22,826,5
23,423,2
23,129,2
23,36,3
23,424,2
23,64,4
23,42,4
23,216,5
23,393,4
23,73,3
23,399,2
23,258,1
23,45,1
23,482,2
23,145,2
23,146,4
23,810,3
23,539,4
23,729,2
23,562,3
23,859,1
23,32,2
23,746,2
24,109,4
24,426,5
24,99,4
24,270,4
24,427,3
24,102,5
24,14,5
24,347,5
24,40,5
24,429,5
24,300,3
24,65,5
24,360,5
24,430,3
24,923,3
24,820,4
24,495,3
24,355,3
24,236,3
24,323,3
24,33,3
24,864,3
25,47,5
25,0,2
25,431,3
25,36,3
25,51,1
25,419,1
25,366,3
25,432,1
25,13,4
25,434,5
25,180,4
25,371,1
25,437,4
25,438,3
25,326,5
25,65,1
25,353,4
25,21,3
25,440,1
25,286,5
25,229,5
25,360,1
25,376,1
25,72,3
25,94,1
25,291,4
25,442,1
25,98,1
25,964,1
25,738,4
25,338,1
25,389,1
25,669,5
25,614,3
25,284,1
25,729,2
25,636,2
25,233,1
26,109,4
26,307,2
26,49,4
26,325,4
26,6,4
26,7,3
26,146,5
26,14,3
26,443,5
26,444,3
26,328,4
26,177,2
26,16,3
26,41,4
26,190,5
26,445,1
26,446,3
26,447,3
26,448,3
26,216,1
26,449,4
26,29,4
26,450,5
26,452,1
26,453,1
26,31,5
26,291,5
26,34,5
26,74,4
26,454,2
26,265,2
26,383,3
26,653,4
26,720,3
26,897,4
26,403,3
26,89,2
26,288,5
26,987,2
27,455,5
27,456,5
27,457,5
27,302,5
27,47,5
27,458,5
27,267,5
27,459,5
27,1,5
27,461,4
27,2,5
27,431,5
27,268,5
27,115,5
27,100,5
27,462,5
27,463,5
27,116,5
27,464,5
27,465,5
27,3,5
27,48,5
27,120,5
27,308,5
27,4,5
27,466,5
27,467,5
27,123,5
27,383,5
27,271,5
27,301,2
27,127,5
27,468,5
27,469,5
27,470,5
27,36,5
27,471,5
27,473,5
27,133,5
27,402,5
27,335,5
27,6,5
27,309,5
27,343,5
27,474,5
27,475,5
27,351,5
27,273,5
27,476,5
27,7,5
27,477,5
27,478,5
27,479,5
27,480,5
27,482,5
27,483,5
27,8,5
27,484,5
27,344,5
27,485,5
27,274,5
27,139,5
27,53,5
27,140,5
27,310,5
27,142,5
27,336,5
27,486,5
27,487,5
27,488,5
27,427,5
27,102,5
27,490,5
27,276,5
27,491,5
27,492,5
27,493,5
27,148,5
27,494,5
27,311,5
27,495,2
27,496,4
27,497,5
27,498,5
27,11,5
27,499,5
27,12,5
27,13,5
27,153,5
27,155,5
27,158,5
27,386,5
27,14,5
27,501,5
27,502,5
27,503,5
27,504,5
27,162,5
27,506,5
27,507,5
27,347,5
27,403,5
27,105,5
27,338,5
27,166,5
27,509,5
27,510,5
27,57,5
27,511,5
27,58,5
27,299,5
27,512,5
27,514,5
27,59,5
27,515,5
27,516,5
27,517,5
27,518,5
27,519,5
27,520,5
27,521,5
27,522,5
27,524,5
27,525,5
27,526,5
27,527,5
27,312,5
27,411,5
27,182,4
27,425,5
27,16,4
27,17,5
27,183,4
27,314,5
27,532,5
27,189,5
27,445,5
27,192,5
27,61,5
27,533,5
27,534,5
27,197,5
27,348,5
27,198,5
27,446,5
27,537,5
27,538,5
27,539,5
27,315,5
27,540,5
27,542,4
27,352,2
27,544,5
27,545,5
27,413,5
27,546,5
27,547,5
27,548,5
27,206,5
27,210,5
27,550,5
27,339,5
27,551,5
27,405,5
27,552,5
27,213,5
27,553,5
27,554,5
27,21,5
27,448,5
27,43,5
27,556,5
27,558,5
27,316,5
27,560,5
27,359,5
27,561,5
27,562,5
27,563,5
27,564,5
27,565,5
27,566,5
27,568,5
27,317,5
27,228,5
27,230,5
27,570,5
27,571,5
27,233,5
27,30,5
27,349,5
27,235,5
27,236,5
27,573,2
27,395,5
27,71,5
27,574,5
27,241,4
27,452,5
27,575,5
27,576,5
27,577,5
27,578,5
27,320,5
27,580,5
27,44,5
27,581,5
27,453,5
27,244,5
27,245,5
27,582,5
27,583,5
27,585,5
27,322,5
27,31,4
27,586,5
27,248,5
27,323,3
27,398,5
27,430,5
27,588,5
27,589,5
27,256,5
27,592,5
27,380,5
27,595,5
27,292,5
27,596,5
27,597,5
27,598,5
27,399,5
27,599,5
27,259,5
27,33,5
27,601,5
27,34,5
27,602,5
27,74,5
27,261,5
27,295,5
27,604,5
27,605,5
27,716,4
27,9,5
27,734,2
27,664,2
27,329,4
27,712,2
27,358,1
28,461,4
28,324,3
28,48,1
28,7,2
28,102,4
28,25,1
28,73,2
28,45,1
28,462,3
28,84,2
28,466,4
28,468,3
28,149,3
28,614,2
28,326,2
28,221,4
28,563,2
28,649,1
29,109,5
29,1,5
29,607,5
29,99,4
29,468,5
29,36,5
29,325,1
29,273,4
29,7,4
29,477,5
29,102,5
29,157,5
29,506,5
29,609,4
29,166,4
29,58,5
29,59,5
29,370,1
29,183,1
29,412,5
29,300,2
29,42,4
29,217,5
29,610,2
29,286,5
29,229,5
29,360,4
29,349,5
29,611,3
29,318,5
29,71,4
29,94,5
29,397,5
29,612,1
29,98,1
29,127,1
29,137,2
29,37,5
29,104,2
29,433,3
29,337,1
29,503,4
29,664,1
29,900,1
30,85,4
30,345,1
30,613,3
30,614,4
30,203,1
30,33,1
30,616,1
30,720,1
30,87,2
30,88,1
30,42,1
30,953,1
30,25,1
30,824,1
30,912,1
30,401,1
31,99,4
31,134,4
31,477,2
31,345,1
31,617,4
31,503,4
31,511,3
31,412,5
31,300,3
31,78,5
31,224,4
31,360,2
31,618,4
31,349,4
31,71,4
31,619,3
31,45,5
31,268,1
31,946,1
31,535,1
31,233,2
31,108,3
31,35,1
32,458,5
32,402,2
32,336,4
32,143,1
32,620,3
32,621,1
32,233,1
32,71,3
32,622,3
32,415,1
32,683,2
32,10,3
32,516,2
32,195,3
32,42,1
32,561,1
32,569,2
32,588,4
32,746,3
33,324,4
33,36,3
33,6,2
33,141,4
33,102,3
33,624,4
33,506,3
33,511,4
33,16,2
